LOCATION,Country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Average_Income
AUS,Australia,AVWAGE,TOT,USD,A,2017,49125.86723
AUT,Austria,AVWAGE,,USD,A,2017,50348.9402
BEL,Belgium,AVWAGE,TOT,USD,A,2017,49674.99505
CAN,Canada,AVWAGE,TOT,USD,A,2017,47621.84365
CZE,Czech Republic,AVWAGE,TOT,USD,A,2017,25372.04296
DNK,Denmark,AVWAGE,TOT,USD,A,2017,51466.30046
FIN,Finland,AVWAGE,TOT,USD,A,2017,42963.66799
FRA,France,AVWAGE,TOT,USD,A,2017,43755.32893
DEU,Germany,AVWAGE,TOT,USD,A,2017,47585.30878
GRC,Greece,AVWAGE,TOT,USD,A,2017,26064.29384
HUN,Hungary,AVWAGE,TOT,USD,A,2017,22575.9975
IRL,Ireland,AVWAGE,TOT,USD,A,2017,47652.9265
ITA,Italy,AVWAGE,TOT,USD,A,2017,36658.39608
JPN,Japan,AVWAGE,TOT,USD,A,2017,40862.60553
KOR,South Korea,AVWAGE,TOT,USD,A,2017,35191.099
LUX,Luxembourg,AVWAGE,TOT,USD,A,2017,63062.20578
MEX,Mexico,AVWAGE,TOT,USD,A,2017,15313.93996
NLD,Netherlands,AVWAGE,TOT,USD,A,2017,52876.50522
NOR,Norway,AVWAGE,TOT,USD,A,2017,51212.21422
POL,Poland,AVWAGE,TOT,USD,A,2017,27046.09655
PRT,Portugal,AVWAGE,TOT,USD,A,2017,25366.50168
SVK,Slovakia,AVWAGE,TOT,USD,A,2017,24327.98176
ESP,Spain,AVWAGE,TOT,USD,A,2017,38507.49441
SWE,Sweden,AVWAGE,TOT,USD,A,2017,42392.75539
CHE,Switzerland,AVWAGE,TOT,USD,A,2017,62282.56886
GBR,United Kingdom,AVWAGE,TOT,USD,A,2017,43731.54269
USA,United States,AVWAGE,TOT,USD,A,2017,60558.35812
EST,Estonia,AVWAGE,TOT,USD,A,2017,24335.9751
ISR,Israel,AVWAGE,TOT,USD,A,2017,35067.4493
SVN,Slovenia,AVWAGE,TOT,USD,A,2017,34932.7283
ISL,Iceland,AVWAGE,TOT,USD,A,2017,61786.88731
NZL,New Zealand,AVWAGE,TOT,USD,A,2017,40042.6296
CHL,Chile,AVWAGE,TOT,USD,A,2017,25878.9467
LVA,Latvia,AVWAGE,TOT,USD,A,2017,23683.2583
LTU,Lithuania,AVWAGE,TOT,USD,A,2017,24286.86924